"ISO.3.Country.Code"	"LOCODE.Code"	"Description"	"Coordinates"	"lat"	"lon"	"range"
"181"	"FRA"	"FRCQI"	"Carqueiranne"	"4308N 00608E"	43.083333	6.083333	3
"182"	"FRA"	"FRCQX"	"Crach"	"4762N 00301W"	47.616667	-3.008333	3
"183"	"FRA"	"FRCRN"	"Carantec"	"4867N 00392W"	48.666667	-3.916667	3
"184"	"FRA"	"FRCTA"	"Carentan"	"4930N 00123W"	49.3	-1.233333	3
"185"	"FRA"	"FRCUN"	"Couëron"	"4722N 00173W"	47.216667	-1.733333	3
"186"	"FRA"	"FRDBE"	"Benodet"	"4787N 00412W"	47.866667	-4.116667	3
"187"	"FRA"	"FRDSM"	"Dives-sur-Mer"	"4928N 00010W"	49.283333	-0.1	3
"188"	"FRA"	"FRECR"	"St-Seurin-de-Cadourne"	"4528N 00078W"	45.283333	-0.783333	3
"189"	"FRA"	"FRELS"	"Étaples"	"5052N 00165E"	50.516667	1.65	3
"190"	"FRA"	"FRETB"	"Berre-l Étang"	"4347N 00518E"	43.466667	5.183333	3
"191"	"FRA"	"FRETN"	"Menton"	"4378N 00750E"	43.783333	7.5	3
"192"	"FRA"	"FREZE"	"Mèze"	"4342N 00360E"	43.416667	3.6	3
"193"	"FRA"	"FRFRO"	"Frontignan"	"4345N 00375E"	43.45	3.75	3
"194"	"FRA"	"FRGIN"	"Giens"	"4312N 00612E"	43.116667	6.116667	3
"195"	"FRA"	"FRGJU"	"Golfe Juan"	"4358N 00705E"	43.583333	7.05	3
"196"	"FRA"	"FRGMS"	"Gujan-Mestras"	"4463N 00107W"	44.633333	-1.066667	3
"197"	"FRA"	"FRGPA"	"Loguivy-Plougras"	"4882N 00307W"	48.816667	-3.066667	3
"198"	"FRA"	"FRHTP"	"Châtelaillon-Plage"	"4607N 00108W"	46.066667	-1.083333	3
"199"	"FRA"	"FRHTR"	"Le Château-d Oléron"	"4590N 00120W"	45.9	-1.2	3
"200"	"FRA"	"FRHYR"	"Hyères"	"4312N 00612E"	43.116667	6.116667	3
"201"	"FRA"	"FRIDY"	"Ile d Yeu"	"4671N 00233W"	46.71	-2.33	3
"202"	"FRA"	"FRIEC"	"Riec-sur-Bélon"	"4783N 00370W"	47.833333	-3.7	3
"203"	"FRA"	"FRIGA"	"Sigean"	"4303N 00298E"	43.033333	2.983333	3
"204"	"FRA"	"FRISM"	"Isigny-sur-Mer"	"4932N 00110W"	49.316667	-1.1	3
"205"	"FRA"	"FRLB2"	"Le Barcares"	"4278N 00303E"	42.783333	3.033333	3
"206"	"FRA"	"FRLEH"	"Le Havre"	"4950N 00013E"	49.5	0.133333	3
"207"	"FRA"	"FRLF2"	"Lège-Cap-Ferret"	"4478N 00113W"	44.78333333	-1.133333333	3
"208"	"FRA"	"FRLF8"	"Le Faouet"	"4478N 00113W"	44.78333333	-1.133333333	3
"209"	"FRA"	"FRLFK"	"La Flotte"	"4618N 00133W"	46.183333	-1.333333	3
"210"	"FRA"	"FRLFY"	"La Fresnaye-au-Sauvage"	"4863N 00247W"	48.633333	-2.466667	3
"211"	"FRA"	"FRLGR"	"Le Grau-du-Roi"	"4353N 00414E"	43.533333	4.141667	3
"212"	"FRA"	"FRLIV"	"Lingreville"	"4895N 00153W"	48.95	-1.533333	3
"213"	"FRA"	"FRLJA"	"Lanton"	"4470N 00103W"	44.7	-1.033333	3
"214"	"FRA"	"FRLKL"	"Lesconil"	"4782N 00422W"	47.816667	-4.216667	3
"215"	"FRA"	"FRLP2"	"Le Palais"	"4767N 00298W"	47.666667	-2.983333	3
"216"	"FRA"	"FRLSO"	"Les Sables-d Olonne"	"4650N 00178W"	46.5	-1.783333	3
"217"	"FRA"	"FRLVE"	"Le Verdon-sur-Mer"	"4554N 00107W"	45.541667	-1.066667	3
