"harbour"	"lon"	"lat"	"range"
"Andernos-les-Bains"	"Andernos-les-Bains"	-1.1	44.74288	3
"Andraitx"	"Andraitx"	2.39081383	39.5467222	3
"Angehamn"	"Angehamn"	11.501667	58.069667	3
"Angelholm"	"Angelholm"	12.841667	56.266667	3
"Angelsbacksstrand"	"Angelsbacksstrand"	12.736167	56.362	3
"Angholmen"	"Angholmen"	11.5635	57.944167	3
"ANGLESEY"	"ANGLESEY"	-4.633333333	53.3	3
"Angoulins"	"Angoulins"	-1.083333	46.066667	3
"Angskar"	"Angskar"	18.061667	60.485667	3
"ANHOLT"	"ANHOLT"	11.5139	56.7156	3
"Ankarudden"	"Ankarudden"	17.84	58.801667	3
"ANNAGASSAN"	"ANNAGASSAN"	-6.336812742	53.88630126	3
"Annalong"	"Annalong"	-5.908333302	54.10889053	3
"ANNALONG"	"ANNALONG"	-5.9	54.1	3
"Annan"	"Annan"	-3.266666667	54.98333333	3
"Anstruther"	"Anstruther"	-2.666666667	53.21666667	3
"Antibes / Cros de Cagnes / Saint-Laurent-du-Var"	"Antibes / Cros de Cagnes / Saint-Laurent-du-Var"	7.166667	43.65	3
"Antifer (La Poterie-Cap-d Antifer)"	"Antifer (La Poterie-Cap-d Antifer)"	0.183333	49.666667	3
"Antwerpen"	"Antwerpen"	4.416666667	51.21666667	3
"ANZIO"	"ANZIO"	12.616667	41.45	3
"APPENÆS"	"APPENÆS"	11.4499	55.1203	3
"Applecross"	"Applecross"	-5.8	57.38333333	3
"Appledore"	"Appledore"	-4.1999998	51.049999	3
"APPLEDORE"	"APPLEDORE"	-4.2	51.05	3
"ARAN ISLANDS"	"ARAN ISLANDS"	-9.799825964	53.07561925	3
"ARBATAX"	"ARBATAX"	9.705556	39.934444	3
"Arbroath"	"Arbroath"	-2.582777778	56.55416667	3
"Arcachon"	"Arcachon"	-1.16355	44.65889	3
"ARCADE"	"ARCADE"	-8.61304181	42.34161194	3
"Ardentinny"	"Ardentinny"	-4.910277778	56.04861111	3
"Ardglass"	"Ardglass"	-5.6016669	54.261112	3
"ARDGLASS"	"ARDGLASS"	-5.616666667	54.26666667	3
"ARDGROOM"	"ARDGROOM"	-9.880623636	51.75523149	3
"ARDMORE"	"ARDMORE"	-7.7140444	51.94783566	3
"Ardnamurchan"	"Ardnamurchan"	-6.097777778	56.69722222	3
"Ardrishaig"	"Ardrishaig"	-5.433333333	56	3
"Ardrossan"	"Ardrossan"	-4.813888889	55.65	3
"Ardyne"	"Ardyne"	-5.04	55.87	3
"Arenys de Mar"	"Arenys de Mar"	2.56367661	41.57969927	3
"ARENZANO"	"ARENZANO"	8.683333	44.4	3
"Ares"	"Ares"	-8.23855467	43.42237221	3
"Arès"	"Arès"	-1.1394	44.7671	3
"ÅRGAB"	"ÅRGAB"	8.1391	55.9807	3
"Argenton (Porspoder)"	"Argenton (Porspoder)"	-4.766667	48.5	3
"ARGOSTOLI"	"ARGOSTOLI"	20.476	38.172	3
"ARGUINEGUIN"	"ARGUINEGUIN"	-15.68436458	27.75604566	3
"ÅRHUS"	"ÅRHUS"	10.2045	56.153	3
"Arild"	"Arild"	12.575	56.275	3
"ARINAGA"	"ARINAGA"	-15.43999951	27.82500079	3
"Arisaig"	"Arisaig"	-5.833333333	56.9	3
"ARKITSA"	"ARKITSA"	23.032	38.76	3
"Arklow"	"Arklow"	-6.138333321	52.79277802	3
"ARKLOW"	"ARKLOW"	-6.140704805	52.79584725	3
"Arkosund"	"Arkosund"	16.945	58.49	3
"ARMINTZA"	"ARMINTZA"	-2.89625787	43.43506381	3
"ARNAGER"	"ARNAGER"	14.7795	55.0546	3
"Arnas"	"Arnas"	12.1825	57.1905	3
"ARNEMUIDEN"	"ARNEMUIDEN"	3.67	51.5	3
"ARNIS"	"ARNIS"	9.933333333	54.63333333	3
"ÅRØ"	"ÅRØ"	9.7376	55.2598	3
"ÅRØSUND"	"ÅRØSUND"	9.7113	55.2606	3
"Arradon"	"Arradon"	-2.833333	47.633333	3
"Arran"	"Arran"	-5.283333333	55.59694444	3
"ARRANMORE"	"ARRANMORE"	-8.49	54.99166667	3
"ARRECIFE DE LANZAROTE"	"ARRECIFE DE LANZAROTE"	-13.53951006	28.96625279	3
"ARRESKOV SØ"	"ARRESKOV SØ"	10.1808	55.091	3
"ARRESØ"	"ARRESØ"	12.1002	55.9603	3
"Arromanches-les-Bains"	"Arromanches-les-Bains"	-0.616667	49.333333	3
"Ars-en-Ré"	"Ars-en-Ré"	-1.516667	46.208333	3
"ÅRSDALE"	"ÅRSDALE"	15.1399	55.1086	3
"Arzal"	"Arzal"	-2.366667	47.516667	3
"Arzon"	"Arzon"	-2.9	47.55	3
"ASÅ"	"ASÅ"	10.4039	57.1482	3
"Askeskar"	"Askeskar"	16.7605	57.771667	3
"ASKØ"	"ASKØ"	11.4928	54.8975	3
"ASNÆS"	"ASNÆS"	11.499	55.8112	3
"Asnelles"	"Asnelles"	-0.583333	49.333333	3
"Aspero"	"Aspero"	11.795167	57.659167	3
"Aspo"	"Aspo"	16.825833	58.292333	3
"Aspo, Aspo"	"Aspo, Aspo"	15.518333	56.115167	3
"Aspoja"	"Aspoja"	16.964167	58.425333	3
"Asques"	"Asques"	-0.416667	44.95	3
"ASSENS (FYN)"	"ASSENS (FYN)"	9.8999	55.2702	3
"ASSENS (MARIAGER FJORD)"	"ASSENS (MARIAGER FJORD)"	10.3015	56.4141	3
"ASTAKOS"	"ASTAKOS"	21.08	38.503	3
"Astol"	"Astol"	11.588167	57.925	3
"ASTYPALAIA"	"ASTYPALAIA"	26.353	36.534	3
"ATHINIOS"	"ATHINIOS"	25.431	36.388	3
"ATTRUP"	"ATTRUP"	9.4545	57.0457	3
"Auckengill"	"Auckengill"	-3.066666667	58.56666667	3
"Audenge"	"Audenge"	-1	44.683333	3
"Audierne"	"Audierne"	-4.533333	48.016667	3
"AUGHRIS"	"AUGHRIS"	-8.76	54.27	3
"AUGUSTA"	"AUGUSTA"	15.216667	37.216667	3
"AUGUSTENBORG"	"AUGUSTENBORG"	9.8728	54.9459	3
"Auray"	"Auray"	-2.983333	47.666667	3
"Autres ports de la Loire (ens. de communes)"	"Autres ports de la Loire (ens. de communes)"	-2.033333	47.283333	3
"AVDIRA"	"AVDIRA"	25.051	40.98	3
"AVERNAKØ"	"AVERNAKØ"	10.2561	55.0332	3
"Aviles"	"Aviles"	-5.92141246	43.57433146	3
"Avoch"	"Avoch"	-4.166666667	57.55	3
"AVOLA"	"AVOLA"	15.133333	36.9	3
"Avranches"	"Avranches"	-1.366667	48.683333	3
"Axmouth"	"Axmouth"	-3.049999952	50.70000076	3
"AXMOUTH"	"AXMOUTH"	-3.05	50.7	3
"Ayamonte"	"Ayamonte"	-7.40858793	37.21720038	3
"Ayia Napa"	"Ayia Napa"	34	34.98333333	3
"Ayr"	"Ayr"	-4.633333333	55.46666667	3
"BAABE"	"BAABE"	13.718	54.3515	3
"Back"	"Back"	-6.316666667	58.26666667	3
"Backby"	"Backby"	18.773667	60.1745	3
"Backviken / Ven"	"Backviken / Ven"	12.721667	55.902833	3
"BAGENKOP"	"BAGENKOP"	10.6734	54.7497	3
"Baggö"	"Baggö"	23.516	59.88866667	3
"Bagillt"	"Bagillt"	-3.16415	53.27275848	3
"BAGILLT"	"BAGILLT"	-3.166666667	53.26666667	3
"BAGNARA"	"BAGNARA"	14.783333	41.05	3
"BÅGØ"	"BÅGØ"	9.8081	55.3143	3
"BAHRENFLETH"	"BAHRENFLETH"	9.434	53.86716667	3
"BAIA"	"BAIA"	14.066667	40.816667	3
"Baie de Bourgneuf (ens. de communes)"	"Baie de Bourgneuf (ens. de communes)"	-2.05	46.916667	3
"BALBRIGGAN"	"BALBRIGGAN"	-6.163074617	53.60812897	3
"Balchik"	"Balchik"	28.16816667	43.40166667	3
"BALESTRATE"	"BALESTRATE"	13	38.05	3
"Balintore"	"Balintore"	-3.9	57.75	3
"BALKA"	"BALKA"	15.1092	55.0393	3
"Ballantrae"	"Ballantrae"	-4.983333333	55.08333333	3
"BALLEBRO"	"BALLEBRO"	9.4023	54.5995	3
"BALLEN (RANDERS FJORD)"	"BALLEN (RANDERS FJORD)"	10.4726	55.0428	3
"BALLEN (SAMSØ)"	"BALLEN (SAMSØ)"	10.385	55.4898	3
"BALLINSKELLIGS"	"BALLINSKELLIGS"	-10.3042879	51.82025894	3
"Ballintoy"	"Ballintoy"	-6.349999905	55.21666718	3
"BALLINTOY"	"BALLINTOY"	-6.35	55.23333333	3
"Ballycastle"	"Ballycastle"	-6.2166667	55.183334	3
"BALLYCASTLE"	"BALLYCASTLE"	-6.233333333	55.21666667	3
"BALLYCONIGER"	"BALLYCONIGER"	-6.317701117	52.4399796	3
"BALLYCONNEELY"	"BALLYCONNEELY"	-10.07576465	53.43532597	3
"BALLYCOTTON"	"BALLYCOTTON"	-8.011534775	51.82886778	3
"BALLYCROVANE"	"BALLYCROVANE"	-9.949378585	51.7134164	3
"Ballydorn"	"Ballydorn"	-5.650000095	54.48333359	3
"BALLYDUFF"	"BALLYDUFF"	-9.664488839	52.45429966	3
"BALLYGLASS"	"BALLYGLASS"	-9.318888889	54.23305556	3
"BALLYHACK"	"BALLYHACK"	-6.96	52.25	3
"Ballyhalbert"	"Ballyhalbert"	-5.433333397	54.48333359	3
"BALLYHALBERT"	"BALLYHALBERT"	-5.45	54.5	3
"BALLYHEIGUE"	"BALLYHEIGUE"	-9.836181246	52.38937541	3
"BALLYLONGFORD"	"BALLYLONGFORD"	-9.508332839	52.53506154	3
"Ballylumford"	"Ballylumford"	-5.766666889	54.83333206	3
"BALLYLUMFORD"	"BALLYLUMFORD"	-5.783333333	54.83333333	3
"BALLYMACAW"	"BALLYMACAW"	-8.520756619	51.67855585	3
"BALLYVAUGHAN"	"BALLYVAUGHAN"	-9.149444444	53.11555556	3
"Ballywalter"	"Ballywalter"	-5.466666698	54.54999924	3
"BALLYWALTER"	"BALLYWALTER"	-5.483333333	54.53333333	3
"Baltasound"	"Baltasound"	-0.833055556	60.75	3
"Baltimore"	"Baltimore"	-9.561944008	51.48194504	3
"BALTIMORE"	"BALTIMORE"	-9.361973214	51.47555969	3
"Balvicar"	"Balvicar"	-5.6	56.28916667	3
"BANDHOLM"	"BANDHOLM"	11.4858	54.8365	3
"Bandol"	"Bandol"	5.75	43.133333	3
"Banff"	"Banff"	-2.533333333	57.66666667	3
"Bangor"	"Bangor"	-4.1166668	53.233334	3
"BANGOR"	"BANGOR"	-4.1166668	53.233334	3
"Bangor (Co. Down)"	"Bangor (Co. Down)"	-5.6694446	54.666668	3
"BANGOR (CO. DOWN)"	"BANGOR (CO. DOWN)"	-5.7	54.65	3
"Bankasviken"	"Bankasviken"	17.933333	62.633333	3
"BANNOW"	"BANNOW"	-6.788261805	52.21084678	3
"BANSIN"	"BANSIN"	14.14333333	53.97666667	3
"Bantry"	"Bantry"	-9.453611374	51.68111038	3
"BANTRY"	"BANTRY"	-9.441380652	51.67548157	3
"BAÑUGUES"	"BAÑUGUES"	-5.805833	43.63456242	3
"Banyuls-sur-Mer"	"Banyuls-sur-Mer"	3.133333	42.483333	3
"BARALLOBRE"	"BARALLOBRE"	-8.18556474	43.4711642	3
"Barbate"	"Barbate"	-5.92519363	36.18733224	3
"Barcaldine"	"Barcaldine"	-5.3	56.52888889	3
"Barcelona"	"Barcelona"	2.18687979	41.37551145	3
"Barfleur"	"Barfleur"	-1.25	49.666667	3
"BARHOEFT"	"BARHOEFT"	13.03333333	54.43333333	3
"BARI"	"BARI"	16.85	41.133333	3
"BÅRING"	"BÅRING"	9.9058	55.4909	3
"BARLETTA"	"BARLETTA"	16.283333	41.316667	3
"Barmouth"	"Barmouth"	-4.050000191	52.71666718	3
"BARMOUTH"	"BARMOUTH"	-4.05	54.71666667	3
"BARNA"	"BARNA"	-9.168718839	53.25139835	3
"Barnstaple"	"Barnstaple"	-4.066666603	51.08333206	3
"BARNSTAPLE"	"BARNSTAPLE"	-4.066666667	51.08333333	3
"BARQUERO-BARES"	"BARQUERO-BARES"	-7.69973566	43.73851897	3
"Barra"	"Barra"	-7.478888889	57.06888889	3
"Barrow"	"Barrow"	-3.200000048	54.09999847	3
"BARROW"	"BARROW"	-3.066666667	52.96666667	3
"Barsebackshamn"	"Barsebackshamn"	12.905	55.756667	3
"BARTH"	"BARTH"	12.71766667	54.36716667	3
"BARTON-ON-SEA"	"BARTON-ON-SEA"	-1.65	50.73333333	3
"Baskemolla"	"Baskemolla"	14.316667	55.595	3
"BASNÆS"	"BASNÆS"	11.3544	55.2122	3
"Basse-Indre (Indre)"	"Basse-Indre (Indre)"	-1.666666667	47.2	3
"Bastad"	"Bastad"	12.841667	56.433333	3
"Bastia"	"Bastia"	9.45	42.7	3
"BASTRUP SØ"	"BASTRUP SØ"	12.2712	55.822	3
"Batskarsnas"	"Batskarsnas"	23.424667	65.779667	3
"Batz (Ile-de-Batz)"	"Batz (Ile-de-Batz)"	-4	48.73333333	3
"BAVELSE SØ"	"BAVELSE SØ"	11.3916	55.1988	3
"BAYONA"	"BAYONA"	-8.84508548	42.12048104	3
"Bayonne"	"Bayonne"	-1.483333	43.483333	3
"Beadnell"	"Beadnell"	-1.616666675	55.54999924	3
"BEADNELL"	"BEADNELL"	-1.633333333	55.55	3
"Beaumaris"	"Beaumaris"	-4.083333492	53.26666641	3
"BEAUMARIS"	"BEAUMARIS"	-4.116666667	53.3	3
"Beddinge Strand"	"Beddinge Strand"	13.423333	55.354833	3
"BEER"	"BEER"	-3.083333333	50.68333333	3
"BEESANDS"	"BEESANDS"	-3.566666667	50.33333333	3
"Beg Meil (Fouesnant)"	"Beg Meil (Fouesnant)"	-4.016667	47.9	3
"Beg Melen (Plouguiel)"	"Beg Melen (Plouguiel)"	-3.233333	48.8	3
"BEGTRUP"	"BEGTRUP"	10.5101	56.1801	3
"BEIDENFLETH"	"BEIDENFLETH"	9.416833333	53.86766667	3
"Bekkeri"	"Bekkeri"	24.65066667	59.43483333	3
"Belfast"	"Belfast"	-5.916666508	54.59999847	3
"BELFAST"	"BELFAST"	-5.933333333	54.58333333	3
"BELLARIA"	"BELLARIA"	12.469167	44.151667	3
"Belle-Île-en-Mer (ens. de communes)"	"Belle-Île-en-Mer (ens. de communes)"	-3.15	47.35	3
"BELMULLET/BLACKSOD"	"BELMULLET/BLACKSOD"	-9.993414152	54.22703066	3
"Belon (Riec-sur-Belon)"	"Belon (Riec-sur-Belon)"	-3.7	47.833333	3
"BELVEDERE MARITTIMO"	"BELVEDERE MARITTIMO"	15.866667	39.616667	3
"Benbecula"	"Benbecula"	-7.278055556	57.45083333	3
"Benicarlo"	"Benicarlo"	0.4326499	40.41422357	3
"Benidorm"	"Benidorm"	-0.13118675	38.53689146	3
"Bénodet"	"Bénodet"	-4.116667	47.866667	3
"Bensbyn"	"Bensbyn"	22.255	65.643333	3
"BENSERSIEL"	"BENSERSIEL"	7.5675	53.6675	3
"Berga Strand"	"Berga Strand"	11.745833	58.0025	3
"BERGENOPZOOM"	"BERGENOPZOOM"	4.32	51.5	3
"Berghamn"	"Berghamn"	18.241667	62.815	3
"Bergkvara"	"Bergkvara"	16.095	56.39	3
"Bergö"	"Bergö"	21.1175	62.9725	3
"Bermeo"	"Bermeo"	-2.71955338	43.41938965	3
"Bernera (Lewis)"	"Bernera (Lewis)"	-6.99	58.185	3
"Bernera (N Uist)"	"Bernera (N Uist)"	-7.162222222	57.60277778	3
"Bernières-sur-Mer"	"Bernières-sur-Mer"	-0.416667	49.333333	3
"Berre-l Etang"	"Berre-l Etang"	5.183333	43.466667	3
"Berwick"	"Berwick"	-1.983333349	55.76666641	3
"Bestrée (Plogoff)"	"Bestrée (Plogoff)"	-4.666667	48.033333	3
"BETANZOS"	"BETANZOS"	-8.2289993	43.311	3
"BIANCO"	"BIANCO"	16.15	38.083333	3
"BIDASOA"	"BIDASOA"	-1.74500113	43.32199892	3
"Bideford"	"Bideford"	-4.2024999	51.02	3
"BIDEFORD"	"BIDEFORD"	-4.216666667	51.01666667	3
"BIELENBERG"	"BIELENBERG"	9.434333333	53.73433333	3
"Bilbao"	"Bilbao"	-3.10312091	43.36682115	3
"Billdal"	"Billdal"	11.926667	57.576833	3
"Billhamn"	"Billhamn"	17.503667	60.654333	3
"Billiers"	"Billiers"	-2.483333	47.533333	3
"Binic"	"Binic"	-2.833333	48.6	3
"BINZ"	"BINZ"	13.6	54.4	3
"BIRKSØ"	"BIRKSØ"	9.4501	56.0572	3
"Birsay"	"Birsay"	-3.299444444	59.13138889	3
"BISCEGLIE"	"BISCEGLIE"	16.5	41.233333	3
"Biskopso"	"Biskopso"	18.723333	59.102833	3
"BISSERUP"	"BISSERUP"	11.497	55.2067	3
"BJERREGÅRD"	"BJERREGÅRD"	8.1799	55.8684	3
"Bjorholmen"	"Bjorholmen"	11.5215	58.053	3
"Bjorkholmen (Kalix)"	"Bjorkholmen (Kalix)"	22.694833	65.776	3
"Bjorko"	"Bjorko"	16.6555	57.865667	3
"Bjorkskar"	"Bjorkskar"	16.8575	58.104667	3
"BJØRNØ"	"BJØRNØ"	10.2501	55.0658	3
"Bjuroklubb"	"Bjuroklubb"	21.5755	64.471667	3
"BLACKPOOL"	"BLACKPOOL"	-3.05	53.81666667	3
"BLACKWATER"	"BLACKWATER"	-6.325931461	52.43125007	3
"Blainville-sur-Mer"	"Blainville-sur-Mer"	-1.583333	49.066667	3
"Blakeney"	"Blakeney"	1.016666651	52.95000076	3
"BLAKENEY"	"BLAKENEY"	1.016666667	52.95	3
"Blanes"	"Blanes"	2.80195083	41.67545087	3
"Blankaholm"	"Blankaholm"	16.531667	57.59	3
"Blankenberge"	"Blankenberge"	3.133333333	51.31666667	3
"BLANS"	"BLANS"	11.4239	54.861	3
"Blase"	"Blase"	18.841667	57.891667	3
"Blasinge"	"Blasinge"	16.700333	56.620167	3
"BLÅVAND"	"BLÅVAND"	8.1176	55.5525	3
"Blaye"	"Blaye"	-0.65	45.11666667	3
"Bleket"	"Bleket"	11.566667	57.95	3
"Blido"	"Blido"	18.889167	59.614833	3
"BLOKHUS"	"BLOKHUS"	9.5917	57.251	3
"Blyth"	"Blyth"	-1.5	55.116665	3
"BLYTH"	"BLYTH"	-1.514166667	55.12055556	3
"BOCKHOLMWIK"	"BOCKHOLMWIK"	9.6015	54.81816667	3
"Boda"	"Boda"	17.08	57.24	3
"Boddam"	"Boddam"	-1.766666667	57.45	3
"BODSTEDT"	"BODSTEDT"	12.61716667	54.36716667	3
"Boekhoute"	"Boekhoute"	3.716666667	51.25	3
"BOERGERENDE"	"BOERGERENDE"	12.88416667	54.15033333	3
"Bogen"	"Bogen"	11.150333	58.987667	3
"BOGENSE"	"BOGENSE"	10.0943	55.5638	3
"BØGESKOVEN"	"BØGESKOVEN"	9.7499	55.6252	3
"BOGNOR REGIS"	"BOGNOR REGIS"	-0.683333333	50.78333333	3
"BOGØ"	"BOGØ"	12.0507	54.9154	3
"Bohus-Bjorko"	"Bohus-Bjorko"	11.675	57.733333	3
"Bohus-Malmon"	"Bohus-Malmon"	11.344	58.3455	3
"BOIENSDORF"	"BOIENSDORF"	11.584	54.0335	3
"BØJDEN"	"BØJDEN"	10.1064	55.1049	3
"Bokenas"	"Bokenas"	11.532	58.297	3
"Bokevik"	"Bokevik"	15.164667	56.153833	3
"Boko"	"Boko"	16.833333	58.098333	3
"BØLSHAVN"	"BØLSHAVN"	15.0759	55.1542	3
"BONAGEE/CULDAFF"	"BONAGEE/CULDAFF"	-7.154055556	55.3	3
"Bonan"	"Bonan"	17.317933	60.73885	3
"Bondhamn"	"Bondhamn"	17.700667	62.5015	3
"Bonhamn"	"Bonhamn"	18.453333	62.881667	3
"Bonifacio"	"Bonifacio"	9.166667	41.391667	3
"BØNNERUP"	"BØNNERUP"	10.7124	56.5337	3
"Bono"	"Bono"	-2.95	47.63333333	3
"Boo"	"Boo"	18.3705	59.314833	3
"Bordeaux"	"Bordeaux"	-0.566667	44.833333	3
"Borgholm"	"Borgholm"	16.65	56.881667	3
"Borka"	"Borka"	17.066667	61.55	3
"BORKUM"	"BORKUM"	6.75	53.55083333	3
"BORN"	"BORN"	12.53333333	54.38333333	3
"BORRE"	"BORRE"	12.4392	54.9952	3
"BORROWSTOWNESS"	"BORROWSTOWNESS"	-3.516666667	54.43333333	3
"Borstahusen"	"Borstahusen"	12.805	55.895	3
"BOSA"	"BOSA"	8.5	40.3	3
"Boscastle"	"Boscastle"	-4.699999809	50.66666794	3
"BOSCASTLE"	"BOSCASTLE"	-4.7	50.68333333	3
"Boste"	"Boste"	13.316333	55.343167	3
"Boston"	"Boston"	-0.016666699	52.96666718	3
"BOSTON"	"BOSTON"	0	52.98333333	3
"Botvaldevik"	"Botvaldevik"	18.808333	57.585	3
"Boulmer"	"Boulmer"	-1.5666667	55.400002	3
"BOULMER"	"BOULMER"	-1.566666667	55.41666667	3
"Boulogne"	"Boulogne"	1.5666667	50.716667	3
"Boulogne-sur-Mer"	"Boulogne-sur-Mer"	1.616667	50.716667	3
"Bourcefranc-le-Chapus"	"Bourcefranc-le-Chapus"	-1.133333333	45.85	3
"Bourg-sur-Gironde (Bourg)"	"Bourg-sur-Gironde (Bourg)"	-0.55	45.03333333	3
