"harbour"	"lon"	"lat"	"range"
"Les Brochets (Bouin)"	"Les Brochets (Bouin)"	-2	46.966667	3
"Les Champs (Bouin)"	"Les Champs (Bouin)"	-2	46.966667	3
"Les Gougins (Saint-Marcouf)"	"Les Gougins (Saint-Marcouf)"	-1.283333333	49.46666667	3
"Les Jacquets (Lège-Cap-Ferret)"	"Les Jacquets (Lège-Cap-Ferret)"	-1.133333333	44.78333333	3
"Les Monards (Barzan)"	"Les Monards (Barzan)"	-0.85	45.533333	3
"Les Sables-d Olonne"	"Les Sables-d Olonne"	-1.783333	46.5	3
"Lesconil (Plobannalec)"	"Lesconil (Plobannalec)"	-4.216667	47.816667	3
"LESINA"	"LESINA"	15.35	41.866667	3
"LETTERMORE/LETTERMULLEN"	"LETTERMORE/LETTERMULLEN"	-9.721864496	53.23774125	3
"LEUCA"	"LEUCA"	18.35	39.8	3
"Leucate"	"Leucate"	3.033333	42.916667	3
"LEVANTO"	"LEVANTO"	9.633333	44.166667	3
"LEVANZO"	"LEVANZO"	12.333333	37.983333	3
"Levenwick"	"Levenwick"	-1.269722222	59.97444444	3
"Leverburgh"	"Leverburgh"	-7.026944444	57.76694444	3
"LEVKA"	"LEVKA"	14.7059	55.1605	3
"LEWNIDIO"	"LEWNIDIO"	22.9	37.156	3
"LEYKADA"	"LEYKADA"	20.697	38.85	3
"LEYKIMMI"	"LEYKIMMI"	20.063	39.449	3
"Lézardrieux"	"Lézardrieux"	-3.1	48.766667	3
"Libourne"	"Libourne"	-0.233333333	44.91666667	3
"LICATA"	"LICATA"	13.933333	37.1	3
"Lickershamn"	"Lickershamn"	18.516667	57.828333	3
"LIETZOW"	"LIETZOW"	13.534	54.434	3
"LIGNANO SABBIADORO"	"LIGNANO SABBIADORO"	13.148056	45.692222	3
"LILD STRAND"	"LILD STRAND"	8.9639	57.1507	3
"Lilla Korno"	"Lilla Korno"	11.37	58.308333	3
"Lilla Risten"	"Lilla Risten"	18.583333	60.338333	3
"Lilla Uttervik"	"Lilla Uttervik"	17.553	58.844833	3
"LILLE DAMME"	"LILLE DAMME"	12.0668	54.553	3
"Limassol"	"Limassol"	33.05	34.68333333	3
"LIMENARIA"	"LIMENARIA"	24.609	40.596	3
"LIMERICK"	"LIMERICK"	-8.659006526	52.66040129	3
"Limhamn"	"Limhamn"	12.923667	55.5865	3
"LINDAUNIS"	"LINDAUNIS"	9.817333333	54.58366667	3
"LINDELSE"	"LINDELSE"	10.7288	54.8624	3
"Lindholmen"	"Lindholmen"	11.128	58.887333	3
"Lingreville"	"Lingreville"	-1.533333	48.95	3
"Lion-sur-Mer"	"Lion-sur-Mer"	-0.316667	49.3	3
"LIPARI"	"LIPARI"	14.95	38.466667	3
"LIPPE"	"LIPPE"	10.65	54.33333333	3
"LIRA-CARNOTA"	"LIRA-CARNOTA"	-9.13542297	42.80697753	3
"LISCANNOR"	"LISCANNOR"	-9.388732683	52.93932929	3
"LISELEJE"	"LISELEJE"	12.0257	56.0126	3
"Liso"	"Liso"	17.761833	58.942833	3
"LIST AUF SYLT"	"LIST AUF SYLT"	8.434166667	55.01683333	3
"LISTED"	"LISTED"	15.1119	55.1441	3
"Littlehampton"	"Littlehampton"	-0.48333329	50.79999924	3
"LITTLEHAMPTON"	"LITTLEHAMPTON"	-0.533333333	50.8	3
"LIVADI"	"LIVADI"	24.44	37.164	3
"Liverpool"	"Liverpool"	-3.0166667	53.450001	3
"LIVERPOOL"	"LIVERPOOL"	-3	53.41666667	3
"LIVORNO"	"LIVORNO"	10.316667	43.55	3
"LIXOYRI"	"LIXOYRI"	20.439	38.211	3
"Ljugarn"	"Ljugarn"	18.716667	57.321667	3
"Ljungskile"	"Ljungskile"	11.916667	58.216667	3
"Ljusne"	"Ljusne"	17.145	61.206667	3
"Ljustero"	"Ljustero"	18.622	59.527	3
"Llanelli"	"Llanelli"	-4.166666508	51.66666794	3
"LLANELLI"	"LLANELLI"	-4.156666667	51.67611111	3
"LLANES"	"LLANES"	-4.7466538	43.42306372	3
"LLANSA"	"LLANSA"	3.1655997	42.37492302	3
"LLORET DE MAR"	"LLORET DE MAR"	2.88206786	41.70513212	3
"LOANO"	"LOANO"	8.25	44.133333	3
"LOBBE"	"LOBBE"	13.718	54.31666667	3
"Loch Buie (Mull)"	"Loch Buie (Mull)"	-5.911666667	56.31527778	3
"Loch Carnan"	"Loch Carnan"	-7.271666667	57.37083333	3
"Loch Glendcoul -Culkein"	"Loch Glendcoul -Culkein"	-5.34679985	58.24449921	3
"Loch Long"	"Loch Long"	-4.858333333	56.09805556	3
"Loch Scridain (Isle Mull)"	"Loch Scridain (Isle Mull)"	-6.1875	56.34916667	3
"Lochboisdale"	"Lochboisdale"	-7.303888889	57.15194444	3
"Lochinver"	"Lochinver"	-5.233333333	58.15	3
"Lochmaddy"	"Lochmaddy"	-7.155833333	57.89583333	3
"Lochs"	"Lochs"	-6.483333333	58.1	3
"Locmaria (Groix)"	"Locmaria (Groix)"	-3.466667	47.633333	3
"Locmariaquer"	"Locmariaquer"	-2.95	47.566667	3
"Locmiquélic"	"Locmiquélic"	-3.35	47.716667	3
"Locquémeau (Trédrez-Locquémeau)"	"Locquémeau (Trédrez-Locquémeau)"	-3.566667	48.7	3
"Locquirec"	"Locquirec"	-3.65	48.7	3
"Loctudy"	"Loctudy"	-4.166667	47.833333	3
"Loftahammar"	"Loftahammar"	16.7	57.903333	3
"Logdea"	"Logdea"	19.393567	63.550383	3
"LØGSTØR"	"LØGSTØR"	9.2525	56.9663	3
"Loguivy-Plougras"	"Loguivy-Plougras"	-3.066667	48.816667	3
"LOHALS"	"LOHALS"	10.9042	55.134	3
"Lohusalu"	"Lohusalu"	24.201	59.40033333	3
"Loka"	"Loka"	18.906667	59.417833	3
"LØKKEN"	"LØKKEN"	9.7159	57.3704	3
"Loksa"	"Loksa"	25.69883333	59.5835	3
"Lomener (Ploemeur)"	"Lomener (Ploemeur)"	-3.433333	47.733333	3
"Lomma"	"Lomma"	13.066667	55.675	3
"London"	"London"	-0.116666697	51.5	3
"LONDON"	"LONDON"	0	51.5	3
"Londonderry"	"Londonderry"	-7.3166666	55	3
"LONDONDERRY"	"LONDONDERRY"	-7.333333333	55	3
"LØNSTRUP"	"LØNSTRUP"	9.7972	57.4727	3
"Looe"	"Looe"	-4.4333334	50.349998	3
"LOOE"	"LOOE"	-4.45	50.35	3
"Loparo"	"Loparo"	18.703	59.568	3
"LORBE"	"LORBE"	-8.29695325	43.39165021	3
"Lorby"	"Lorby"	14.697	56.071167	3
"Lorby Kladd"	"Lorby Kladd"	14.715667	56.095	3
"Lorient"	"Lorient"	-3.363889	47.728611	3
"Lorudden"	"Lorudden"	17.658333	62.233333	3
"LOS ABRIGOS"	"LOS ABRIGOS"	-16.65700063	28.027	3
"LOS CRISTIANOS"	"LOS CRISTIANOS"	-16.71929447	28.04876966	3
"Los Gigantes"	"Los Gigantes"	-16.84699975	28.24200047	3
"Los Silos"	"Los Silos"	-16.8320008	28.37399915	3
"Lossiemouth"	"Lossiemouth"	-3.279722222	57.72416667	3
"LOUGHSHINNY"	"LOUGHSHINNY"	-6.084219492	53.54561391	3
"LOUISBURGH"	"LOUISBURGH"	-9.811504839	53.76265019	3
"LOVNS"	"LOVNS"	9.2141	56.6839	3
"Lovo"	"Lovo"	16.470833	57.977167	3
"Lovskar"	"Lovskar"	22.373333	65.541667	3
"Lowestoft"	"Lowestoft"	1.763889	52.466667	3
"LOWESTOFT"	"LOWESTOFT"	1.75	52.48333333	3
"LUANCO"	"LUANCO"	-5.78746964	43.61754715	3
"LUARCA"	"LUARCA"	-6.53214353	43.54660598	3
"Lubczyna"	"Lubczyna"	14.7	53.50016667	3
"Lubin"	"Lubin"	14.41716667	53.86666667	3
"Luc-sur-Mer"	"Luc-sur-Mer"	-0.35	49.3	3
"LUEBECK"	"LUEBECK"	10.7	53.884	3
"LUEBECK-GOTHMUND"	"LUEBECK-GOTHMUND"	10.75016667	53.90066667	3
"LUEBECK-SCHLUTUP"	"LUEBECK-SCHLUTUP"	10.80033333	53.88433333	3
"Luing"	"Luing"	-5.633333333	56.26666667	3
"Lulea"	"Lulea"	22.168333	65.58	3
"LULWORTH COVE"	"LULWORTH COVE"	-2.216666667	50.66666667	3
"LUMSÅS"	"LUMSÅS"	11.3092	55.571	3
"LUND"	"LUND"	12.3013	55.2418	3
"LUNDEBORG"	"LUNDEBORG"	10.7827	55.1396	3
"LUNDEHØJE"	"LUNDEHØJE"	11.5182	54.6473	3
"LUNDØ"	"LUNDØ"	9.1444	56.6237	3
"LUNE ESTUARY (HEATON)"	"LUNE ESTUARY (HEATON)"	-2.85	54.03333333	3
"Lunneviken"	"Lunneviken"	11.17	59.0535	3
"Lybster"	"Lybster"	-3.3	58.28333333	3
"Lyckorna"	"Lyckorna"	11.903833	58.216333	3
"LYGIA"	"LYGIA"	20.724	38.796	3
"Lyme Regis"	"Lyme Regis"	-2.9333334	50.716667	3
"LYME REGIS"	"LYME REGIS"	-2.933333333	50.73333333	3
"LYMINGTON"	"LYMINGTON"	-1.55	50.75	3
"Lymington and Keyhaven"	"Lymington and Keyhaven"	-1.516666651	50.75	3
"LYNÆS"	"LYNÆS"	11.8649	55.9426	3
"LYNDBY"	"LYNDBY"	11.8234	54.8688	3
"Lynmouth"	"Lynmouth"	-3.833333254	51.21666718	3
"LYNMOUTH"	"LYNMOUTH"	-3.816666667	51.21666667	3
"LYØ"	"LYØ"	10.1513	55.0451	3
"Lyse-Berga Norra Grundsund"	"Lyse-Berga Norra Grundsund"	11.418833	58.308	3
"Lysekil"	"Lysekil"	11.443333	58.275	3
"LYTHAM ST ANNES"	"LYTHAM ST ANNES"	-2.966666667	53.73333333	3
"MA?STROS"	"MA?STROS"	25.849	40.817	3
"MAASHOLM"	"MAASHOLM"	9.984333333	54.68333333	3
"Macau"	"Macau"	-0.616667	45.016667	3
"Macduff"	"Macduff"	-2.498611111	57.67138889	3
"Machrihanish"	"Machrihanish"	-5.731111111	55.42083333	3
"Macinaggio (Rogliano) / Pino"	"Macinaggio (Rogliano) / Pino"	9.35	42.9	3
"MADESØ"	"MADESØ"	11.1948	55.3723	3
"Maglehem"	"Maglehem"	14.153333	55.773167	3
"Magnarp Strand"	"Magnarp Strand"	12.791667	56.3	3
"MAHON"	"MAHON"	4.26013423	39.89729064	3
"Mahu"	"Mahu"	26.71766667	59.51716667	3
"Maidens"	"Maidens"	-4.783333333	55.33333333	3
"MAIORI"	"MAIORI"	14.633333	40.65	3
"MAKRI"	"MAKRI"	25.747	40.847	3
"Malaga"	"Malaga"	-4.4208888	36.71069594	3
"MALAHIDE"	"MALAHIDE"	-6.128551461	53.45158294	3
"Maldon"	"Maldon"	0.683333278	51.73333359	3
"MALDON"	"MALDON"	0.683333333	51.71666667	3
"MALIN HEAD"	"MALIN HEAD"	-7.389538087	55.37522473	3
"MALINBEG"	"MALINBEG"	-8.775516651	54.69114997	3
"MALINMORE/MALINBEG"	"MALINMORE/MALINBEG"	-8.784350807	54.66881182	3
"Mallaig"	"Mallaig"	-5.823611111	57.00527778	3
"Malmo (Malmo)"	"Malmo (Malmo)"	13.035833	55.623667	3
"MALPAS"	"MALPAS"	-2.766666667	53.01666667	3
"Malpica de Bergantiños"	"Malpica de Bergantiños"	-8.80444489	43.32418287	3
"Manchester"	"Manchester"	-2.316666603	53.48333359	3
"MANCHESTER"	"MANCHESTER"	-2.216666667	53.5	3
"MANFREDONIA"	"MANFREDONIA"	15.916667	41.633333	3
"Manilaiu"	"Manilaiu"	24.12533333	59.222	3
"MARANO LAGUNARE"	"MARANO LAGUNARE"	13.169167	45.766389	3
"Marans"	"Marans"	-1	46.3	3
"MARATEA"	"MARATEA"	15.716667	39.983333	3
"MARBÆK"	"MARBÆK"	12.0773	55.8095	3
"Marbella"	"Marbella"	-4.87137652	36.50956053	3
"MARCIANA MARINA"	"MARCIANA MARINA"	10.2	42.8	3
"Marennes"	"Marennes"	-1.116667	45.816667	3
"MARETTIMO"	"MARETTIMO"	12.066667	37.966667	3
"Marfa (Cirkewwa)"	"Marfa (Cirkewwa)"	14.34444444	35.98722222	3
"Margate"	"Margate"	1.416666746	51.38333511	3
"MARGATE"	"MARGATE"	-1.416666667	51.38333333	3
"MARGHERITA DI SAVOIA"	"MARGHERITA DI SAVOIA"	16.15	41.366667	3
"MARIAGER"	"MARIAGER"	9.9758	56.6486	3
"Marignane"	"Marignane"	5.216667	43.416667	3
"Marin"	"Marin"	-8.696389198	42.39611053	3
"MARINA DI CAMEROTA"	"MARINA DI CAMEROTA"	15.366667	40	3
"MARINA DI CAMPO"	"MARINA DI CAMPO"	10.233333	42.733333	3
"MARINA DI CARRARA"	"MARINA DI CARRARA"	10.033333	44.033333	3
"MARINA DI GROSSETO"	"MARINA DI GROSSETO"	10.983333	42.716667	3
"MARINA DI MASSA"	"MARINA DI MASSA"	10.1	44	3
"MARINA DI PISA"	"MARINA DI PISA"	10.266667	43.666667	3
"MARINA DI PISCIOTTA"	"MARINA DI PISCIOTTA"	15.233333	40.1	3
"Marjaniemi"	"Marjaniemi"	24.56333333	65.04	3
"MAROTTA"	"MAROTTA"	13.133333	43.766667	3
"MARSALA"	"MARSALA"	12.433333	37.8	3
"Marsaxlokk"	"Marsaxlokk"	14.54472222	35.83694444	3
"Marseillan"	"Marseillan"	0.316667	43.483333	3
"Marseille"	"Marseille"	5.4	43.3	3
"MARSELISBORG"	"MARSELISBORG"	10.1288	56.0838	3
"Marso (Vastervik)"	"Marso (Vastervik)"	16.701667	57.654167	3
"MARSTAL"	"MARSTAL"	10.5212	54.8544	3
"Marstrand"	"Marstrand"	11.596167	57.887667	3
"Martigues"	"Martigues"	5.05	43.4	3
"MARTINSICURO"	"MARTINSICURO"	13.916667	42.883333	3
"MARUGGIO"	"MARUGGIO"	17.566667	40.316667	3
"MÅRUP HAVN"	"MÅRUP HAVN"	10.5668	55.9458	3
"MARWNEIA"	"MARWNEIA"	25.585	40.863	3
"Maryport"	"Maryport"	-3.5	54.716667	3
"MARYPORT"	"MARYPORT"	-3.5	54.7	3
"MASNEDØ"	"MASNEDØ"	11.8842	54.9976	3
"MASSALUBRENSE"	"MASSALUBRENSE"	14.333333	40.6	3
"MASTIHARI"	"MASTIHARI"	27.076	36.851	3
"Mataro"	"Mataro"	2.44484218	41.53098178	3
"MATHRAKI"	"MATHRAKI"	19.517	39.767	3
"MAYRA LITHARIA"	"MAYRA LITHARIA"	22.424	38.144	3
"MAYROLIMNI"	"MAYROLIMNI"	23.12	38.066	3
"MAZARA DEL VALLO"	"MAZARA DEL VALLO"	12.583333	37.65	3
"Mazarron"	"Mazarron"	-1.25558414	37.5644021	3
"Mechelinki"	"Mechelinki"	18.50083333	54.60066667	3
"MEDEMBLIK"	"MEDEMBLIK"	4.06	51.77	3
"Meeruse"	"Meeruse"	24.671	59.4505	3
"MEESCHENDORF"	"MEESCHENDORF"	11.23433333	54.40116667	3
"MEGISTI"	"MEGISTI"	29.587	36.132	3
"Meikle Ferry"	"Meikle Ferry"	-4.149166667	57.86333333	3
"MEIRA"	"MEIRA"	-8.71797858	42.28273838	3
"MELDORF"	"MELDORF"	8.950333333	54.08333333	3
"Melilla"	"Melilla"	-2.93100085	35.28800059	3
"MELITO DI PORTO SALVO"	"MELITO DI PORTO SALVO"	15.783333	37.916667	3
"Mellanfjarden"	"Mellanfjarden"	17.345	61.958333	3
"MELLERUP"	"MELLERUP"	10.203	56.5217	3
"MELSTED"	"MELSTED"	14.9809	55.2008	3
"Menai Bridge"	"Menai Bridge"	-4.150000095	53.23333359	3
"MENAI BRIDGE"	"MENAI BRIDGE"	-4.15	53.21666667	3
"Menton"	"Menton"	7.5	43.783333	3
"MERA-OLEIROS"	"MERA-OLEIROS"	-8.33611071	43.37825546	3
"MERIHAS"	"MERIHAS"	24.458	37.428	3
"Merrien (Moëlan-sur-Mer)"	"Merrien (Moëlan-sur-Mer)"	-3.633333	47.816667	3
"Meschers-sur-Gironde"	"Meschers-sur-Gironde"	-0.95	45.566667	3
"MESOLOGGI (Auction Hall)"	"MESOLOGGI (Auction Hall)"	21.418	38.321	3
"MESSINA"	"MESSINA"	15.566667	38.183333	3
"MESTA"	"MESTA"	25.898	38.289	3
"META DI SORRENTO"	"META DI SORRENTO"	14.4	40.65	3
"Methil and Leven"	"Methil and Leven"	-2.983333333	56.18333333	3
"Mevagissey"	"Mevagissey"	-4.7833333	50.25	3
"Meyran (Gujan-Mestras)"	"Meyran (Gujan-Mestras)"	-1.0666	44.6333	3
"Mèze"	"Mèze"	3.6	43.416667	3
"Mgarr Gozo"	"Mgarr Gozo"	14.29666667	36.02472222	3
"Mid Yell"	"Mid Yell"	-1.05	60.6	3
"MIDDELFART"	"MIDDELFART"	9.7417	55.503	3
"MIDDENSCHOUWEN"	"MIDDENSCHOUWEN"	6.44	53.33	3
"MIDDLESBOROUGH"	"MIDDLESBOROUGH"	-1.150833333	54.56666667	3
"MIDSKOV"	"MIDSKOV"	10.6157	55.513	3
"Miedzywodzie"	"Miedzywodzie"	14.68383333	54.0005	3
"Miedzyzdroje"	"Miedzyzdroje"	14.4505	53.93366667	3
"Miiduranna"	"Miiduranna"	24.81666667	59.5	3
"Mikoszewo"	"Mikoszewo"	18.93416667	54.334	3
"MILAZZO"	"MILAZZO"	15.233333	38.216667	3
"Milford Haven"	"Milford Haven"	-5.1666665	51.700001	3
"MILFORD HAVEN"	"MILFORD HAVEN"	-5.033333333	51.71666667	3
"MILLBROOK"	"MILLBROOK"	-4.183333333	50.36666667	3
"Mimizan"	"Mimizan"	-1.233333	44.2	3
"Mindin (Saint-Brevin-les-Pins)"	"Mindin (Saint-Brevin-les-Pins)"	-2.166667	47.25	3
"Minehead"	"Minehead"	-3.450000048	51.20000076	3
"MINEHEAD"	"MINEHEAD"	-3.466666667	51.2	3
"MIÑO"	"MIÑO"	-8.21493167	43.35269298	3
"Mistley"	"Mistley"	1.1666667	51.933334	3
"MISTLEY"	"MISTLEY"	1.083333333	51.93333333	3
"Mjorn"	"Mjorn"	11.666667	58.072	3
"Moaña"	"Moaña"	-8.73558057	42.27520631	3
"MOENKEBUDE"	"MOENKEBUDE"	13.96666667	53.78333333	3
"Mogan"	"Mogan"	-15.7665864	27.8157318	3
"Mogueriec (Sibiril)"	"Mogueriec (Sibiril)"	-2.166667	47.25	3
"Moja"	"Moja"	18.886667	59.406667	3
"MOLA DI BARI"	"MOLA DI BARI"	17.083333	41.066667	3
"Molène (Ile-Molène)"	"Molène (Ile-Molène)"	-4.95	48.4	3
"MOLFETTA"	"MOLFETTA"	16.6	41.2	3
"Molle"	"Molle"	12.493333	56.283333	3
"Mollosund"	"Mollosund"	11.471667	58.073333	3
"MOMMARK"	"MOMMARK"	10.0395	54.9261	3
"MONDELLO"	"MONDELLO"	13.333333	38.2	3
"MONDRAGONE"	"MONDRAGONE"	13.883333	41.116667	3
"Monelid"	"Monelid"	11.132333	58.933833	3
"MONEMVASIA"	"MONEMVASIA"	23.04	36.682	3
"MONEYGOLD"	"MONEYGOLD"	-8.5	54.41	3
"MONFALCONE"	"MONFALCONE"	13.534167	45.807222	3
"MONNIKENDAM"	"MONNIKENDAM"	5.07	52.44	3
"MONOPOLI"	"MONOPOLI"	17.3	40.95	3
"Monsteras"	"Monsteras"	16.453333	57.041667	3
"MONTALTO DI CASTRO"	"MONTALTO DI CASTRO"	11.616667	42.35	3
"MONTEROSSO AL MARE"	"MONTEROSSO AL MARE"	9.65	44.15	3
"Montgat"	"Montgat"	2.28040553	41.46596848	3
"Montmartin-sur-Mer"	"Montmartin-sur-Mer"	-1.5166	48.9833	3
"Montrose"	"Montrose"	-2.466666667	56.7	3
"Mõntu"	"Mõntu"	22.12716667	57.949	3
"MORAIRA"	"MORAIRA"	0.1359119	38.6873699	3
"Morbylanga"	"Morbylanga"	16.376667	56.53	3
"Morecambe"	"Morecambe"	-1.80250001	55.36388779	3
"MORECAMBE"	"MORECAMBE"	-2.85	54.06666667	3
"Morfa Nefyn"	"Morfa Nefyn"	-4.558680058	52.93907166	3
"MORFA NEFYN"	"MORFA NEFYN"	-4.533333333	52.93333333	3
"Morgat (Crozon)"	"Morgat (Crozon)"	-4.483333	48.25	3
"MØRKHOLT"	"MØRKHOLT"	9.7324	55.6572	3
"Morko"	"Morko"	17.663333	58.998833	3
"Morlaix"	"Morlaix"	-3.833333	48.583333	3
"Mornac-sur-Seudre"	"Mornac-sur-Seudre"	-1.033333	45.716667	3
"MORNINGTON"	"MORNINGTON"	-6.23061693	53.71788316	3
"Morro Jable"	"Morro Jable"	-14.36136033	28.04764043	3
"Morrum, Klaven"	"Morrum, Klaven"	14.776333	56.157667	3
"Mortagne-sur-Gironde"	"Mortagne-sur-Gironde"	-0.783333	45.483333	3
"MOSEDE"	"MOSEDE"	12.2849	55.5666	3
"MOSSØ"	"MOSSØ"	9.5013	56.0171	3
"Mostyn"	"Mostyn"	-3.266666651	53.31666565	3
"MOSTYN"	"MOSTYN"	-3.266666667	53.3	3
"MOTRICO"	"MOTRICO"	-2.38030749	43.30911407	3
"Motril"	"Motril"	-3.51992036	36.72376007	3
"MOU BRO"	"MOU BRO"	10.2254	56.9667	3
"Moulin Mer (Logonna-Daoulas)"	"Moulin Mer (Logonna-Daoulas)"	-4.3	48.316667	3
"MOUNTCHARLES"	"MOUNTCHARLES"	-8.262646775	54.63045013	3
"Mousterlin (Fouesnant)"	"Mousterlin (Fouesnant)"	-4.016667	47.9	3
"MOVILLE"	"MOVILLE"	-7.041267712	55.19072544	3
"Mrzezyno"	"Mrzezyno"	15.2835	54.13383333	3
"Msida ( Marsamxett)"	"Msida ( Marsamxett)"	14.4925	35.89666667	3
"Muasdale"	"Muasdale"	-5.6825	55.60388889	3
"MUGARDOS"	"MUGARDOS"	-8.25488774	43.46569035	3
"MUGGIA"	"MUGGIA"	13.767222	45.603056	3
"MUGIA"	"MUGIA"	-9.2140685	43.10779473	3
"MULLAGHMORE/CARNS"	"MULLAGHMORE/CARNS"	-8.460816963	54.46816607	3
"MULLERUP HAVN"	"MULLERUP HAVN"	11.1701	55.5038	3
"Mullion"	"Mullion"	-5.25	50.01666641	3
"MULLION"	"MULLION"	-5.233333333	50.03333333	3
"Munalaiu"	"Munalaiu"	24.118	58.22916667	3
"MUNDACA"	"MUNDACA"	-2.69618649	43.40955255	3
"MUNKEBO"	"MUNKEBO"	10.5595	55.4595	3
"Munkedal"	"Munkedal"	11.678667	58.438833	3
"MUNKHOLM"	"MUNKHOLM"	10.1421	55.0563	3
"MUNKMARSCH"	"MUNKMARSCH"	8.351333333	54.91716667	3
"Muros"	"Muros"	-9.05196017	42.77682364	3
"MURRISK"	"MURRISK"	-9.684720121	53.79065494	3
"Musko"	"Musko"	18.129333	58.998	3
"Muso"	"Muso"	11.247667	58.630667	3
"Muuga"	"Muuga"	24.96666667	59.5	3
"MYKONOS"	"MYKONOS"	25.32336	37.45654	3
"MYLOR"	"MYLOR"	-5.05	50.16666667	3
"MYRINA"	"MYRINA"	25.059	39.879	3
"MYTIKAS"	"MYTIKAS"	20.943	38.665	3
"MYTILINI"	"MYTILINI"	26.56021	39.10144	3
"NABBE"	"NABBE"	10.3236	55.061	3
"Nabbelund"	"Nabbelund"	17.087833	57.348	3
"NÆSTVED"	"NÆSTVED"	11.7543	55.2315	3
"Nairn"	"Nairn"	-3.866666794	57.58333206	3
"Naissaare"	"Naissaare"	24.55416667	59.55633333	3
"NAKKE"	"NAKKE"	11.7317	55.9241	3
"NAKSKOV"	"NAKSKOV"	11.1359	54.833	3
"Namdo"	"Namdo"	18.691667	59.194167	3
"Nantes"	"Nantes"	-1.55	47.216667	3
"NAOYSA"	"NAOYSA"	25.14579	37.082	3
"NAPOLI"	"NAPOLI"	14.25	40.833333	3
"NAPPEDAM"	"NAPPEDAM"	10.2964	56.1665	3
"Narshamn"	"Narshamn"	18.666667	57.226667	3
"Narva-Jõesuu"	"Narva-Jõesuu"	28.05083333	59.451	3
"Naset"	"Naset"	11.906833	57.623	3
"Naske"	"Naske"	18.525	63.156667	3
"Nasva"	"Nasva"	22.38466667	58.21333333	3
"Navekvarn"	"Navekvarn"	16.801667	58.626667	3
"Navelso"	"Navelso"	16.681	57.674167	3
"NAXOS"	"NAXOS"	25.37199	37.10719	3
"NAYPAKTOS"	"NAYPAKTOS"	21.831	38.388	3
"NEA FWKAIA"	"NEA FWKAIA"	23.305	40.223	3
"NEA KALLIKRATEIA"	"NEA KALLIKRATEIA"	23.063	40.306	3
"NEA MIHANIWNA (Auction Hall)"	"NEA MIHANIWNA (Auction Hall)"	22.839	40.469	3
"NEA MOYDANIA"	"NEA MOYDANIA"	23.274	40.23	3
"NEA POTIDAIA"	"NEA POTIDAIA"	23.317	40.197	3
"NEA RODA"	"NEA RODA"	23.906	40.4	3
"NEA SKIWNI"	"NEA SKIWNI"	23.507	39.952	3
"NEA STYRA"	"NEA STYRA"	24.209	38.163	3
"NEAPOLI"	"NEAPOLI"	23.03	36.3	3
"NEDER DRÅBY"	"NEDER DRÅBY"	12.0004	55.5159	3
"NEES"	"NEES"	8.2121	56.3948	3
"NEKSELØ"	"NEKSELØ"	11.1782	55.4691	3
"NEOS MARMARAS"	"NEOS MARMARAS"	23.778	40.093	3
"Nesebar"	"Nesebar"	27.72416667	42.65266667	3
"Ness"	"Ness"	-6.345277778	58.46305556	3
"NEU MUKRAN"	"NEU MUKRAN"	13.63433333	54.50116667	3
"NEU REDDEVITZ"	"NEU REDDEVITZ"	13.601	54.3335	3
"NEUENDORF-FLEIEN"	"NEUENDORF-FLEIEN"	9.400333333	53.801	3
"NEUENDORF H"	"NEUENDORF H"	13.06716667	54.5005	3
"NEUENKIRCHEN"	"NEUENKIRCHEN"	13.30083333	54.56716667	3
"NEUFELD"	"NEUFELD"	9.016666667	53.9	3
"NEUHARLINGERSIEL"	"NEUHARLINGERSIEL"	7.700333333	53.7	3
"NEUKIRCHEN"	"NEUKIRCHEN"	9.734666667	54.8005	3
"NEUSTADT (HOLSTEIN)"	"NEUSTADT (HOLSTEIN)"	10.80116667	54.1005	3
"New Quay"	"New Quay"	-4.333333492	52.20000076	3
"NEW QUAY"	"NEW QUAY"	-9.086245995	53.15674266	3
"NEW QUAY (CEINEWYDD?)"	"NEW QUAY (CEINEWYDD?)"	-4.366666667	52.21666667	3
"Newbiggin"	"Newbiggin"	-1.516666651	55.16666794	3
"NEWBIGGIN"	"NEWBIGGIN"	-1.516666667	55.16666667	3
"Newburgh"	"Newburgh"	-2	57.33333333	3
"Newcastle"	"Newcastle"	-5.866666794	54.20000076	3
"NEWCASTLE"	"NEWCASTLE"	-5.9	54.21666667	3
"Newcastle (Co. Down)"	"Newcastle (Co. Down)"	-5.866666794	54.20000076	3
"NEWCASTLE (CO. DOWN)"	"NEWCASTLE (CO. DOWN)"	-5.9	54.21666667	3
"Newhaven"	"Newhaven"	0.049722198	50.794167	3
"NEWHAVEN"	"NEWHAVEN"	0	50.78333333	3
"Newhaven (Scotland)"	"Newhaven (Scotland)"	-3.216666667	55.98333333	3
"Newlyn"	"Newlyn"	-5.5486112	50.104168	3
"NEWLYN"	"NEWLYN"	-5.553611111	50.10111111	3
"Newport (Monmouthshire)"	"Newport (Monmouthshire)"	-2.983333349	51.56666565	3
"NEWPORT (MONMOUTHSHIRE)"	"NEWPORT (MONMOUTHSHIRE)"	-2.983333333	51.58333333	3
"Newquay"	"Newquay"	-5.083333492	50.41666794	3
"NEWQUAY"	"NEWQUAY"	-5.083333333	50.41666667	3
"Newry"	"Newry"	-6.333333492	54.16666794	3
"NEWRY"	"NEWRY"	-6.333333333	54.18333333	3
"NEWTON BY THE SEA"	"NEWTON BY THE SEA"	-1.666666667	55.5	3
